hwconfig	swconfig	m	n	k	bias	mn-ratio	ops	bytes	op/byte	cycles	op/cycle
cpu1	cpu	1	1024	1	yes	0.001	1024	5121	0.200	31055	0.03
cpu1	cpu	1	1024	4	yes	0.001	4096	8196	0.500	62629	0.07
cpu1	cpu	1	1024	16	yes	0.001	16384	20496	0.799	205370	0.08
cpu1	cpu	1	1024	64	yes	0.001	65536	69696	0.940	1726394	0.04
cpu1	cpu	1	1024	256	yes	0.001	262144	266496	0.984	7471168	0.04
cpu1	cpu	4	256	1	yes	0.016	1024	4356	0.235	31156	0.03
cpu1	cpu	4	256	4	yes	0.016	4096	5136	0.798	61893	0.07
cpu1	cpu	4	256	16	yes	0.016	16384	8256	1.984	191515	0.09
cpu1	cpu	4	256	64	yes	0.016	65536	20736	3.160	727239	0.09
cpu1	cpu	4	256	256	yes	0.016	262144	70656	3.710	6834243	0.04
cpu1	cpu	16	64	1	yes	0.250	1024	4176	0.245	31386	0.03
cpu1	cpu	16	64	4	yes	0.250	4096	4416	0.928	62104	0.07
cpu1	cpu	16	64	16	yes	0.250	16384	5376	3.048	191109	0.09
cpu1	cpu	16	64	64	yes	0.250	65536	9216	7.111	683894	0.10
cpu1	cpu	16	64	256	yes	0.250	262144	24576	10.667	2940870	0.09
cpu1	cpu	32	32	1	yes	1.000	1024	4160	0.246	31631	0.03
cpu1	cpu	32	32	4	yes	1.000	4096	4352	0.941	62404	0.07
cpu1	cpu	32	32	16	yes	1.000	16384	5120	3.200	191490	0.09
cpu1	cpu	32	32	64	yes	1.000	65536	8192	8.000	683747	0.10
cpu1	cpu	32	32	256	yes	1.000	262144	20480	12.800	2656594	0.10
cpu1	cpu	64	16	1	yes	4.000	1024	4176	0.245	32401	0.03
cpu1	cpu	64	16	4	yes	4.000	4096	4416	0.928	63110	0.06
cpu1	cpu	64	16	16	yes	4.000	16384	5376	3.048	192071	0.09
cpu1	cpu	64	16	64	yes	4.000	65536	9216	7.111	684281	0.10
cpu1	cpu	64	16	256	yes	4.000	262144	24576	10.667	2656564	0.10
cpu1	cpu	256	4	1	yes	64.000	1024	4356	0.235	36275	0.03
cpu1	cpu	256	4	4	yes	64.000	4096	5136	0.798	67015	0.06
cpu1	cpu	256	4	16	yes	64.000	16384	8256	1.984	196740	0.08
cpu1	cpu	256	4	64	yes	64.000	65536	20736	3.160	691403	0.09
cpu1	cpu	256	4	256	yes	64.000	262144	70656	3.710	2673511	0.10
cpu1	cpu	1024	1	1	yes	1024.000	1024	5121	0.200	45672	0.02
cpu1	cpu	1024	1	4	yes	1024.000	4096	8196	0.500	77140	0.05
cpu1	cpu	1024	1	16	yes	1024.000	16384	20496	0.799	209120	0.08
cpu1	cpu	1024	1	64	yes	1024.000	65536	69696	0.940	715271	0.09
cpu1	cpu	1024	1	256	yes	1024.000	262144	266496	0.984	2735462	0.10
cpu2	cpu	1	1024	1	yes	0.001	1024	5121	0.200	31231	0.03
cpu2	cpu	1	1024	4	yes	0.001	4096	8196	0.500	62165	0.07
cpu2	cpu	1	1024	16	yes	0.001	16384	20496	0.799	201487	0.08
cpu2	cpu	1	1024	64	yes	0.001	65536	69696	0.940	1464868	0.04
cpu2	cpu	1	1024	256	yes	0.001	262144	266496	0.984	6411791	0.04
cpu2	cpu	4	256	1	yes	0.016	1024	4356	0.235	31117	0.03
cpu2	cpu	4	256	4	yes	0.016	4096	5136	0.798	61951	0.07
cpu2	cpu	4	256	16	yes	0.016	16384	8256	1.984	191319	0.09
cpu2	cpu	4	256	64	yes	0.016	65536	20736	3.160	717296	0.09
cpu2	cpu	4	256	256	yes	0.016	262144	70656	3.710	5786922	0.05
cpu2	cpu	16	64	1	yes	0.250	1024	4176	0.245	31495	0.03
